# eventIndex trackIndex extX(cm) extY(cm) extZ(cm) extPx(MeV/c) extPy(MeV/c) extPz(MeV/c) reduced-chi2
7 0 -13.547591 50.012213 33.150519 -84.288433 46.303988 42.192001 1.174422
10 0 49.927136 -13.888457 19.948766 90.358980 48.058935 17.460149 0.935862
14 0 50.322758 -12.928016 3.493746 94.617322 40.163659 -12.147489 1.322300
15 0 3.420990 51.149409 11.300323 -61.995625 60.092740 58.576360 1.063441
16 0 -36.283092 -36.150182 -3.300912 36.175326 -96.907310 -31.672511 1.487171
17 0 -24.060171 -45.101793 1.556224 52.681424 -84.953308 32.163639 1.173787
18 0 51.363986 4.012504 -5.642026 77.040859 69.958903 8.853000 0.922529
19 0 -46.899529 -21.108516 -0.031542 -34.942336 -96.295878 -16.648961 0.912112
21 0 -49.215837 14.955742 -15.680253 -71.847416 -47.706570 -58.006495 0.989631
29 0 10.037778 -50.820560 -17.988666 72.880685 -72.937950 -17.418291 1.152441
31 0 -38.013603 34.481274 -23.778280 -92.774361 -41.191373 19.953707 0.670664
33 0 -47.175885 -20.933583 -34.654846 -33.918548 -98.401152 -16.103355 0.831301
41 0 49.036743 15.852437 2.053914 47.686376 84.442727 -36.422852 1.181684
46 0 11.910717 49.665973 -40.262886 -77.658795 66.715121 -3.518731 0.837039
50 0 4.130945 -50.992055 10.744955 67.835748 -42.408787 68.206094 0.677555
55 0 31.943162 40.347506 32.855161 -21.587223 97.354032 32.656118 1.115312
56 0 48.743226 15.619437 8.953066 31.521950 91.633387 -37.615854 0.918516
57 0 48.209264 18.258346 5.033709 31.283144 94.633944 -33.620197 1.057222
62 0 34.398922 38.335813 -48.579243 -14.130089 101.242147 -21.728374 0.833100
66 0 -23.724081 -45.790900 13.701615 21.441175 -94.645880 -35.609834 1.095891
67 0 0.839102 51.297363 -4.835453 -82.528286 59.007280 -28.648745 0.948192
68 0 11.365927 -50.233418 28.396864 87.648429 -39.739020 38.134325 1.222049
70 0 -50.774067 -9.584872 -37.381241 -49.415693 -91.547512 2.868263 0.919640
72 0 41.360465 31.119568 -6.575523 20.153444 88.835955 -51.830094 1.035848
74 0 -51.184070 8.282127 16.393734 -82.844414 -53.211566 -36.205530 1.158150
75 0 -50.478593 11.098525 7.499545 -76.136470 -48.369274 53.201318 0.835101
76 0 -50.478458 8.126479 15.199793 -55.127591 -84.648319 -26.222305 0.958756
78 0 2.091689 -51.583571 -1.436770 68.383045 -77.216245 14.788223 0.880750
79 0 48.984202 -14.421224 21.848286 81.281193 65.796249 -11.978061 0.955591
86 0 -40.287757 32.389675 -32.957363 -103.157997 -3.493966 -15.821941 0.928324
96 0 9.142722 51.100919 -45.256584 -45.312546 93.501851 -12.101693 0.980625
102 0 29.379364 -41.975872 8.980813 102.123931 10.479445 -15.703566 0.920094
104 0 -47.834721 18.366357 -11.385064 -71.703382 -50.817199 -55.963416 0.785875
105 0 45.097747 -25.429579 6.538152 103.884235 6.729956 -5.249143 1.038771
107 0 37.140522 35.842895 -21.103744 3.922706 93.200505 -46.245597 0.990783
110 0 -42.838083 28.393026 11.101860 -93.099982 -35.084091 -33.685043 0.995429
114 0 17.872973 48.354976 13.212369 -36.126293 96.650548 -10.420635 1.033004
115 0 -51.054578 2.744875 -2.780982 -65.129392 -81.359096 13.573372 0.721814
116 0 45.835011 24.069130 -29.331655 33.030249 96.329987 23.064075 0.966309
117 0 1.526849 51.614172 15.205452 -52.681178 86.677834 21.538354 0.794496
